Tree Richness - Medium quality 1 (Ground Cover),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,1,4,2,95,1,4,,,1,4
40,1,4,2,95,1,4,,,1,4
60,1,4,2,95,1,4,,,1,4
Comment (optional),Cover may increase but generally do not observe diversity to increase,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,1,4,2,95,1,4,,,1,4
40,1,4,2,95,1,4,,,1,4
60,1,4,2,95,1,4,,,1,4
Comment (optional),Does not include revegetation,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,3,6,6,85,3,6,,,3,6
40,3,6,6,85,3,6,,,3,6
60,0,2,1,85,0,2,,,0,2
Comment (optional),Revegetation can increase species diversity however observion is that this generally declines over time - not self-recruiting over long time frames ,,,,,,,,,
