Grass & grass-like richness - High quality,,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
12,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),30,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,8,20,12,95,8,20,,,8,20
20,2,16,8,60,0,20,,,-1,20
40,2,14,8,60,0,17,,,-1,17
60,2,14,6,50,0,20,,,-1,20
Comment (optional),Lower bound considers major human intervention or structural changing weeds such as Olive or Lovegrass whereas upper bound light grazing may have management benefits,,,,,,,,,
