Grass & grass-like cover - High quality,,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),55,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,25,60,40,95,26,55,,,26,59
20,20,65,40,95,21,55,,,21,64
40,15,70,40,90,15,55,,,15,70
60,10,70,40,80,6,55,,,6,74
Comment (optional),Long-term average may remain approximately constant; short-term changes driven by rainfall. Wide bounds again,,,,,,,,,
