Grass & grass-like Richness (mean richness of Grass & grass-like over all plots),,,,,,,,,,
Low initial condition,,,,,,,,,,
,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Proivide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, could capture the number of tree species)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),,,,
,,,,,,,,,,
Management scenario: Do Nothing,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,8,8,8,100,8,8,,,8,8
20,0,2,3,80,0,4,,,0,4
40,0,4,3,60,0,5,,,-2,5
60,0,5,3,50,0,7,,,-2,7
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Threat management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,8,8,8,100,8,8,,,8,8
20,1,4,2,80,1,4,,,1,4
40,1,5,3,80,1,5,,,1,5
60,1,6,4,50,0,8,,,-1,8
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Restoration,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,8,8,8,100,8,8,,,8,8
20,2,4,3,80,2,4,,,2,4
40,2,5,4,80,2,5,,,2,5
60,2,6,5,50,0,7,,,0,7
Comment (optional),,,,,,,,,,
